geneName	geneChromosome	strand	exonNumber	geneLength
CCDC97	chr19	+	5	3322
CCDC99	chr5	+	12	2667
CCHCR1	chr6	-	19	3030
CCHCR1	chr6_cox_hap2	-	19	3030
CCHCR1	chr6_dbb_hap3	-	19	3030
CCHCR1	chr6_mann_hap4	-	19	3030
CCHCR1	chr6_mcf_hap5	-	19	3030
CCHCR1	chr6_qbl_hap6	-	19	3030
CCIN	chr9	+	1	1943
CCK	chr3	-	6	1614
CCKAR	chr4	-	5	1682
CCKBR	chr11	+	5	2120
CCL1	chr17	-	3	542
CCL11	chr17	+	3	925
CCL13	chr17	+	3	851
CCL14	chr17	-	4	554
CCL14-CCL15	chr17	-	8	1471
CCL15	chr17	-	4	1080
CCL16	chr17	-	3	1497
CCL17	chr16	+	4	615
CCL18	chr17	+	3	770
CCL19	chr9	-	4	684
CCL2	chr17	+	3	747
CCL20	chr2	+	4	842
CCL21	chr9	-	4	878
CCL22	chr16	+	3	2918
CCL23	chr17	-	4	625
CCL24	chr7	-	3	360
CCL25	chr19	+	6	1002
CCL26	chr7	-	4	562
CCL27	chr9	-	3	446
CCL28	chr5	-	3	816
CCL3	chr17	-	3	796
CCL3L1	chr17	-	6	1566
CCL3L3	chr17	-	6	1548
CCL4	chr17	+	3	667
CCL4L1	chr17	+	6	1316
CCL4L2	chr17	+	6	1316
CCL5	chr17	-	3	1229
CCL7	chr17	+	3	805
CCL8	chr17	+	3	1250
CCM2	chr7	+	12	2170
CCNA1	chr13	+	10	2302
CCNA2	chr4	-	8	2798
CCNB1	chr5	+	9	2091
CCNB1IP1	chr14	-	9	1889
CCNB2	chr15	+	9	1549
CCNB3	chrX	+	12	4511
CCNC	chr6	-	12	2307
CCND1	chr11	+	5	4289
CCND2	chr12	+	5	6522
CCND3	chr6	-	6	2423
CCNDBP1	chr15	+	11	2718
CCNE1	chr19	+	12	1947
CCNE2	chr8	-	12	2726
CCNF	chr16	+	17	4287
CCNG1	chr5	+	7	2468
CCNG2	chr4	+	8	5474
CCNH	chr5	-	9	1638
CCNI	chr4	-	7	1873
CCNI2	chr5	+	6	2355
CCNJ	chr10	+	6	4138
CCNJL	chr5	-	7	3274
CCNK	chr14	+	11	2606
CCNL1	chr3	-	11	2624
CCNL2	chr1	-	12	3631
CCNO	chr5	-	3	1432
CCNT1	chr12	-	9	2568
CCNT2	chr2	+	10	7010
CCNY	chr10	+	13	4269
CCNYL1	chr2	+	10	3911
CCP110	chr16	+	16	5587
CCPG1	chr15	-	8	7223
CCR1	chr3	-	2	2676
CCR10	chr17	-	2	1244
CCR2	chr3	+	3	3581
CCR3	chr3	+	4	1865
CCR4	chr3	+	2	1657
CCR5	chr3	+	3	3661
CCR6	chr6	+	4	3687
CCR7	chr17	-	3	2184
CCR8	chr3	+	2	1487
CCR9	chr3	+	4	2653
CCRL1	chr3	+	2	2476
CCRL2	chr3	+	3	1866
CCRN4L	chr4	+	3	1956
CCS	chr11	+	8	1032
CCT2	chr12	+	17	2282
CCT3	chr1	-	16	2382
CCT4	chr2	-	14	2334
CCT5	chr5	+	11	3403
CCT6A	chr7	+	14	2664
CCT6B	chr17	-	14	1898
CCT6P1	chr7	+	12	1766
CCT6P3	chr7	+	11	2244
CCT7	chr2	+	13	2032
CCT8	chr21	-	15	1894
CCT8L2	chr22	-	1	2053
CCZ1	chr7	+	15	1824
CD101	chr1	+	10	3547
CD109	chr6	+	33	9453
CD14	chr5	-	3	1806
CD151	chr11	+	9	1549
CD160	chr1	-	6	1559
CD163	chr12	-	17	4192
CD163L1	chr12	-	20	4582
CD164	chr6	-	6	3112
CD164L2	chr1	-	5	1539
CD177	chr19	+	9	2364
CD180	chr5	-	3	2715
CD19	chr16	+	15	1958
CD1A	chr1	+	6	2095
CD1B	chr1	-	6	1396
CD1C	chr1	+	6	2592
CD1D	chr1	+	7	3783
CD1E	chr1	+	6	2117
CD2	chr1	+	5	1531
CD200	chr3	+	7	2290
CD200R1	chr3	-	7	2397
CD200R1L	chr3	-	7	1365
CD207	chr2	-	6	1872
CD209	chr19	-	6	4426
CD22	chr19	+	14	3292
CD226	chr18	-	7	2637
CD24	chrY	-	1	2180
CD244	chr1	-	9	2525
CD247	chr1	-	8	1681
CD248	chr11	-	1	2558
CD27	chr12	+	6	1320
CD274	chr9	+	7	3686
CD276	chr15	+	10	3401
CD28	chr2	+	4	4886
CD2AP	chr6	+	18	5409
CD2BP2	chr16	-	7	3648
CD300A	chr17	+	7	1889
CD300C	chr17	-	4	1517
CD300E	chr17	-	4	3525
CD300LB	chr17	-	4	2294
CD300LD	chr17	-	4	644
CD300LF	chr17	-	7	1759
CD300LG	chr17	+	9	3528
CD302	chr2	-	6	3979
CD320	chr19	-	5	1251
CD33	chr19	+	8	1610
CD34	chr1	-	8	2811
CD36	chr7	+	17	5427
CD37	chr19	+	8	1243
CD38	chr4	+	8	1491
CD3D	chr11	-	5	741
CD3E	chr11	+	9	1513
CD3EAP	chr19	+	3	3286
CD3G	chr11	+	7	1311
CD4	chr12	+	9	3977
CD40	chr20	+	9	1616
CD40LG	chrX	+	5	1833
CD44	chr11	+	19	6678
CD46	chr1	+	14	3393
CD47	chr3	-	11	5346
CD48	chr1	-	4	1070
CD5	chr11	+	11	3157
CD52	chr1	+	2	505
CD53	chr1	+	9	1628
CD55	chr1	+	11	2914
CD58	chr1	-	6	1719
CD59	chr11	-	7	8080
CD5L	chr1	-	6	2237
CD6	chr11	+	13	3288
CD63	chr12	-	8	1017
CD68	chr17	+	6	1856
CD69	chr12	-	4	2495
CD7	chr17	-	4	1283
CD70	chr19	-	3	913
CD72	chr9	-	9	1548
CD74	chr5	-	9	1681
CD79A	chr19	+	5	1258
CD79B	chr17	-	6	1264
CD80	chr3	-	7	2757
CD81	chr11	+	8	1497
CD82	chr11	+	10	1691
CD83	chr6	+	5	2477
CD84	chr1	-	8	8279
CD86	chr3	+	8	2922
CD8A	chr2	-	9	3673
CD8B	chr2	-	8	1869
CD9	chr12	+	8	1314
CD93	chr20	-	2	6701
CD96	chr3	+	15	4481
CD97	chr19	+	20	3492
CD99	chrX	+	10	1237
CD99	chrY	+	10	1237
CD99L2	chrX	-	12	3745
CD99P1	chrX	+	11	3316
CD99P1	chrY	+	11	3316
CDA	chr1	+	4	959
CDADC1	chr13	+	10	3401
CDAN1	chr15	-	28	4730
CDC123	chr10	+	13	1548
CDC14A	chr1	+	16	5392
CDC14B	chr9	-	15	5743
CDC14C	chr7	+	1	2893
CDC16	chr13	+	18	2293
CDC20	chr1	+	11	1674
CDC20B	chr5	-	12	2984
CDC23	chr5	-	16	3155
CDC25A	chr3	-	15	3706
CDC25B	chr20	+	16	3674
CDC25C	chr5	-	14	2115
CDC26	chr9	-	4	870
CDC27	chr17	-	19	5610
CDC34	chr19	+	5	1445
CDC37	chr19	-	8	1671
CDC37L1	chr9	+	7	1698
CDC40	chr6	+	15	3852
CDC42	chr1	+	8	3155
CDC42BPA	chr1	-	36	10506
CDC42BPB	chr14	-	37	6701
CDC42BPG	chr11	-	37	4939
CDC42EP1	chr22	+	3	2162
CDC42EP2	chr11	+	2	2023
CDC42EP3	chr2	-	2	3981
CDC42EP4	chr17	-	2	3101
CDC42EP5	chr19	-	3	875
CDC42SE1	chr1	-	6	3183
CDC42SE2	chr5	+	6	3656
CDC45	chr22	+	20	2008
CDC5L	chr6	+	16	3000
CDC6	chr17	+	12	3053
CDC7	chr1	+	13	3415
CDC73	chr1	+	17	5939
CDCA2	chr8	+	15	3720
CDCA3	chr12	-	6	1170
CDCA4	chr14	-	2	2453
CDCA5	chr11	-	6	2576
CDCA7	chr2	+	10	2810
CDCA7L	chr7	-	11	2962
CDCA8	chr1	+	11	2303
CDCP1	chr3	-	9	6241
CDCP2	chr1	-	4	2723
CDH1	chr16	+	16	4815
CDH10	chr5	-	12	3436
CDH11	chr16	-	13	3648
CDH12	chr5	-	15	4345
CDH13	chr16	+	17	4331
CDH15	chr16	+	14	2859
CDH16	chr16	-	18	2954
CDH17	chr8	-	19	3804
CDH18	chr5	-	13	3087
CDH19	chr18	-	12	3185
CDH2	chr18	-	16	4367
CDH20	chr18	+	11	2855
CDH22	chr20	-	11	3657
CDH23	chr10	+	69	13716
CDH24	chr14	-	14	3553
CDH26	chr20	+	19	3420
CDH3	chr16	+	16	4276
CDH4	chr20	+	16	3060
CDH5	chr16	+	12	4128
CDH6	chr5	+	12	8571
CDH7	chr18	+	13	2958
CDH8	chr16	-	12	4952
CDH9	chr5	-	12	3075
CDHR1	chr10	+	18	5971
CDHR2	chr5	+	33	4376
CDHR3	chr7	+	19	6500
CDHR4	chr3	-	19	2474
CDHR5	chr11	-	15	3489
CDIPT	chr16	-	6	1874
CDK1	chr10	+	8	3318
CDK10	chr16	+	13	1798
CDK11A	chr1	-	20	2627
CDK11B	chr1	-	21	2527
CDK12	chr17	+	14	8290
CDK13	chr7	+	14	6975
CDK14	chr7	+	14	4953
CDK15	chr2	+	14	1531
CDK16	chrX	+	18	3983
CDK17	chr12	-	16	4713
CDK18	chr1	+	16	3274
CDK19	chr6	-	13	6139
CDK2	chr12	+	7	2293
CDK20	chr9	-	8	2432
CDK2AP1	chr12	-	4	1613
CDK2AP2	chr11	-	4	1378
CDK3	chr17	+	8	1570
CDK4	chr12	-	8	1443
CDK5	chr7	-	12	1193
CDK5R1	chr17	+	2	3854
CDK5R2	chr2	+	1	2480
CDK5RAP1	chr20	-	14	2092
CDK5RAP2	chr9	-	38	6230
CDK5RAP3	chr17	+	14	1884
CDK6	chr7	-	9	11762
CDK7	chr5	+	12	1517
CDK8	chr13	+	13	1769
CDK9	chr9	+	7	2472
CDKAL1	chr6	+	16	3271
CDKL1	chr14	-	9	1177
CDKL2	chr4	-	12	4715
CDKL3	chr5	-	13	2262
CDKL4	chr2	-	8	1567
CDKL5	chrX	+	23	3518
CDKN1A	chr6	+	5	2397
CDKN1B	chr12	+	3	2413
CDKN1C	chr11	-	3	1930
CDKN2A	chr9	-	5	2078
CDKN2AIP	chr4	+	3	2374
CDKN2AIPNL	chr5	-	3	1254
CDKN2B	chr9	-	2	3984
CDKN2B-AS1	chr9	+	19	3834
CDKN2C	chr1	+	3	2478
CDKN2D	chr19	-	2	1423
CDKN3	chr14	+	8	891
CDNF	chr10	-	4	1330
CDO1	chr5	-	5	1614
CDON	chr11	-	20	8047
CDR1	chrX	-	1	1299
CDR2	chr16	-	5	2702
CDR2L	chr17	+	5	3533
CDRT1	chr17	-	12	2763
CDRT15	chr17	-	3	567
CDRT15L1	chr17	+	3	571
CDRT15L2	chr17	+	2	1048
CDRT15P	chr17	+	1	1101
CDRT4	chr17	-	4	2498
CDRT7	chr17	+	3	767
CDS1	chr4	+	13	4538
CDS2	chr20	+	13	9323
CDSN	chr6	-	2	2583
CDSN	chr6_cox_hap2	-	2	2580
CDSN	chr6_dbb_hap3	-	2	2580
CDSN	chr6_mann_hap4	-	2	2580
CDSN	chr6_mcf_hap5	-	2	2580
CDSN	chr6_qbl_hap6	-	2	2580
CDT1	chr16	+	10	2675
CDV3	chr3	+	6	4333
CDX1	chr5	+	3	1772
CDX2	chr13	-	3	2090
CDX4	chrX	+	3	855
CDY1	chrY	-|+	4	5338
CDY1B	chrY	-|+	4	5338
CDY2A	chrY	-|+	2	3920
CDY2B	chrY	-|+	2	3920
CDYL	chr6	+	12	4124
CDYL2	chr16	-	7	2235
CEACAM1	chr19	-	10	3612
CEACAM16	chr19	+	7	1692
CEACAM18	chr19	+	5	1197
CEACAM19	chr19	+	8	2248
CEACAM20	chr19	-	12	1810
CEACAM21	chr19	+	7	1359
CEACAM22P	chr19	-	8	3016
CEACAM3	chr19	+	7	1151
CEACAM4	chr19	-	7	1205
CEACAM5	chr19	+	10	3600
CEACAM6	chr19	+	6	2631
CEACAM7	chr19	-	5	2289
CEACAM8	chr19	-	6	2303
CEBPA	chr19	-	1	2591
CEBPB	chr20	+	1	1837
CEBPD	chr8	-	1	1251
CEBPE	chr14	-	2	1201
CEBPG	chr19	+	2	3736
CEBPZ	chr2	-	16	3327
CECR1	chr22	-	10	4036
CECR2	chr22	+	18	5636
CECR3	chr22	-	3	1914
CECR5	chr22	-	9	1880
CECR5-AS1	chr22	+	2	626
CECR6	chr22	-	1	5069
CECR7	chr22	+	4	2726
CEL	chr9	+	11	2384
CELA1	chr12	-	8	952
CELA2A	chr1	+	8	920
CELA2B	chr1	+	8	923
CELA3A	chr1	+	8	907
CELA3B	chr1	+	8	1003
CELF1	chr11	-	18	9084
CELF2	chr10	+	16	9791
CELF3	chr1	-	13	5850
CELF4	chr18	-	13	4054
CELF5	chr19	+	13	5258
CELF6	chr15	-	14	3575
CELP	chr9	+	5	985
CELSR1	chr22	-	35	11389
CELSR2	chr1	+	34	10540
CELSR3	chr3	-	35	11962
CEMP1	chr16	-	1	1374
CEND1	chr11	-	2	1646
CENPA	chr2	+	5	1429
CENPB	chr20	-	1	2840
CENPBD1	chr16	-	1	3058
CENPC1	chr4	-	19	3349
CENPE	chr4	-	49	8612
CENPF	chr1	+	20	10296
CENPH	chr5	+	9	1389
CENPI	chrX	+	21	2563
CENPJ	chr13	-	17	5173
CENPK	chr5	-	11	1731
CENPL	chr1	-	7	2787
CENPM	chr22	-	7	1011
CENPN	chr16	+	13	5307
CENPO	chr2	+	8	4244
CENPP	chr9	+	8	3413
CENPQ	chr6	+	9	1728
CENPT	chr16	-	16	2345
CENPV	chr17	-	5	1164
CENPVL1	chrX	-|+	2	2604
CENPW	chr6	+	3	550
CEP104	chr1	-	22	6458
CEP112	chr17	-	29	4022
CEP120	chr5	-	21	4711
CEP128	chr14	-	24	4457
CEP135	chr4	+	26	5670
CEP152	chr15	-	27	5637
CEP164	chr11	+	33	5628
CEP170	chr1	-	20	7214
CEP170P1	chr4	+	8	1070
CEP19	chr3	-	3	2160
CEP192	chr18	+	45	7976
CEP250	chr20	+	35	8324
CEP290	chr12	-	54	7955
CEP350	chr1	+	38	13456
CEP44	chr4	+	13	6552
CEP55	chr10	+	9	2658
CEP57	chr11	+	11	3158
CEP57L1	chr6	+	14	3091
CEP63	chr3	+	19	6743
CEP68	chr2	+	7	5862
CEP70	chr3	-	18	2662
CEP72	chr5	+	12	2414
CEP76	chr18	-	12	2869
CEP78	chr9	+	16	2750
CEP85	chr1	+	14	3935
CEP89	chr19	-	19	2605
CEP95	chr17	+	20	2689
CEP97	chr3	+	11	4411
CEPT1	chr1	+	10	2348
CER1	chr9	-	2	1205
CERCAM	chr9	+	13	2689
CERK	chr22	-	13	4445
CERKL	chr2	-	14	3288
CERS1	chr19	-	8	3579
CERS2	chr1	-	11	2544
CERS3	chr15	-	13	3894
CERS4	chr19	+	12	1816
CERS5	chr12	-	10	1943
CERS6	chr2	+	10	6259
CES1	chr16	-	14	2012
CES1P1	chr16	+	6	2247
CES1P2	chr16	+	14	1595
CES2	chr16	+	12	4203
CES3	chr16	+	14	4320
CES4A	chr16	+	14	2621
CES5A	chr16	-	15	2480
CES5AP1	chr22	-	7	880
CETN1	chr18	+	1	1156
CETN2	chrX	-	5	1080
CETN3	chr5	-	5	981
CETN4P	chr4	-	3	629
CETP	chr16	+	16	1717
CFB	chr6	+	18	2627
CFB	chr6_cox_hap2	+	18	2627
CFB	chr6_dbb_hap3	+	18	2627
CFB	chr6_mann_hap4	+	13	2046
CFB	chr6_mcf_hap5	+	18	2627
CFB	chr6_qbl_hap6	+	18	2627
CFB	chr6_ssto_hap7	+	18	255
CFC1	chr2	+|-	12	2018
CFC1B	chr2	+|-	12	2320
CFD	chr19	+	5	1159
CFDP1	chr16	-	7	1279
CFH	chr1	+	23	4375
CFHR1	chr1	+	6	1297
CFHR2	chr1	+	5	1036
CFHR3	chr1	+	6	1640
CFHR4	chr1	+	10	2181
CFHR5	chr1	+	10	2828
CFI	chr4	-	13	2161
CFL1	chr11	-	4	1257
CFL1P1	chr10	+	4	2120
CFL2	chr14	-	5	3514
CFLAR	chr2	+	12	12191
CFLAR-AS1	chr2	-	7	1041
CFP	chrX	-	10	1775
CFTR	chr7	+	27	6131
CG030	chr13	-	1	4890
CGA	chr6	-	4	704
CGB	chr19	-	3	879
CGB1	chr19	-	3	732
CGB2	chr19	+	3	732
CGB5	chr19	+	3	880
CGB7	chr19	-	3	880
CGB8	chr19	-	3	887
CGGBP1	chr3	-	6	4804
CGN	chr1	+	21	5101
CGNL1	chr15	+	19	7218
CGREF1	chr2	-	9	3046
CGRRF1	chr14	+	6	1323
CH25H	chr10	-	1	1378
CHAC1	chr15	+	3	1560
CHAC2	chr2	+	3	1275
CHAD	chr17	-	4	1695
CHADL	chr22	-	6	2533
CHAF1A	chr19	+	15	3343
CHAF1B	chr21	+	14	2279
CHAT	chr10	+	18	2728
CHCHD1	chr10	+	3	844
CHCHD10	chr22	-	4	682
CHCHD2	chr7	-	4	815
CHCHD3	chr7	-	8	1590
CHCHD4	chr3	-	4	1604
CHCHD5	chr2	+	4	673
CHCHD6	chr3	+	8	946
CHCHD7	chr8	+	5	1730
CHCHD8	chr11	-	2	816
CHD1	chr5	-	35	6457
CHD1L	chr1	+	23	3010
CHD2	chr15	+	39	9521
CHD3	chr17	+	41	7604
CHD4	chr12	-	40	6497
CHD5	chr1	-	42	9663
CHD6	chr20	-	37	10389
CHD7	chr8	+	38	11580
CHD8	chr14	-	39	8383
CHD9	chr16	+	39	11462
CHDH	chr3	-	9	3706
CHEK1	chr11	+	15	3235
CHEK2	chr22	-	16	1987
CHERP	chr19	-	17	4095
CHFR	chr12	-	19	3374
CHGA	chr14	+	8	2043
CHGB	chr20	+	5	2650
CHI3L1	chr1	-	10	1837
CHI3L2	chr1	+	11	1611
CHIA	chr1	+	12	1685
CHIC1	chrX	+	6	6909
CHIC2	chr4	-	6	1150
CHID1	chr11	-	16	3817
CHIT1	chr1	-	11	2307
CHKA	chr11	-	12	2717
CHKB	chr22	-	11	1629
CHKB-CPT1B	chr22	-	30	4276
CHL1	chr3	+	28	7649
CHM	chrX	-	16	7934
CHML	chr1	-	1	7066
CHMP1A	chr16	-	7	2354
CHMP1B	chr18	+	1	3060
CHMP2A	chr19	-	6	1031
CHMP2B	chr3	+	6	2628
CHMP4A	chr14	-	6	1356
CHMP4B	chr20	+	5	1647
CHMP4C	chr8	+	5	1845
CHMP5	chr9	+	8	2070
CHMP6	chr17	+	8	1664
CHMP7	chr8	+	11	3410
CHN1	chr2	-	13	3310
CHN2	chr7	+	13	3846
CHODL	chr21	+	9	2801
CHORDC1	chr11	-	11	3385
CHP	chr15	+	7	3228
CHP2	chr16	+	7	2366
CHPF	chr2	-	5	3176
CHPF2	chr7	+	4	3970
CHPT1	chr12	+	9	1567
CHRAC1	chr8	+	4	2548
CHRD	chr3	+	23	3521
CHRDL1	chrX	-	12	4159
CHRDL2	chr11	-	12	1678
CHRFAM7A	chr15	-	10	2858
CHRM1	chr11	-	2	2823
CHRM2	chr7	+	6	2973
CHRM3	chr1	+	5	2745
CHRM4	chr11	-	1	1468
CHRM5	chr15	+	3	3039
CHRNA1	chr2	-	10	2056
CHRNA10	chr11	-	5	1945
CHRNA2	chr8	-	7	4067
CHRNA3	chr15	-	7	3457
CHRNA4	chr20	-	6	5487
CHRNA5	chr15	+	6	3623
CHRNA6	chr8	-	6	2383
CHRNA7	chr15	+	10	3428
CHRNA9	chr4	+	5	1892
CHRNB1	chr17	+	11	2437
CHRNB2	chr1	+	6	5718
CHRNB3	chr8	+	6	1953
CHRNB4	chr15	-	6	2448
CHRND	chr2	+	12	1741
CHRNE	chr17	-	12	2460
CHRNG	chr2	+	12	2187
CHST1	chr11	-	4	2718
CHST10	chr2	-	7	2854
CHST11	chr12	+	3	5768
CHST12	chr7	+	2	2069
CHST13	chr3	+	3	1739
CHST14	chr15	+	1	2198
CHST15	chr10	-	8	6375
CHST2	chr3	+	2	3043
CHST3	chr10	+	3	6973
CHST4	chr16	+	2	2307
CHST5	chr16	-	3	3250
CHST6	chr16	-	3	6885
CHST7	chrX	+	2	2311
CHST8	chr19	+	6	2898
CHST9	chr18	-	6	2246
CHST9-AS1	chr18	+	8	2392
CHSY1	chr15	-	3	4550
CHSY3	chr5	+	3	3492
CHTF18	chr16	+	22	3090
CHTF8	chr16	-	5	3004
CHTOP	chr1	+	6	2166
CHUK	chr10	-	21	3524
CHURC1	chr14	+	4	3613
CHURC1-FNTB	chr14	+	14	2894
CIAO1	chr2	+	7	4036
CIAPIN1	chr16	-	9	2105
CIB1	chr15	-	7	977
CIB2	chr15	-	6	1547
CIB3	chr19	-	6	661
CIB4	chr2	-	7	745
CIC	chr19	+	20	5473
CIDEA	chr18	+	5	1585
CIDEB	chr14	-	7	2242
CIDEC	chr3	-	9	1376
CIDECP	chr3	-	3	803
CIITA	chr16	+	20	4654
CILP	chr15	-	9	4468
CILP2	chr19	+	8	4199
CINP	chr14	-	6	1120
CIR1	chr2	-	10	1793
CIRBP	chr19	+	7	3263
CIRH1A	chr16	+	17	2254
CISD1	chr10	+	3	2075
CISD2	chr4	+	3	5891
CISD3	chr17	+	4	2636
CISH	chr3	-	4	2268
CIT	chr12	-	48	8708
CITED1	chrX	-	6	1617
CITED2	chr6	-	4	2110
CITED4	chr1	-	1	1291
CIZ1	chr9	-	18	3190
CKAP2	chr13	+	9	3736
CKAP2L	chr2	-	9	3273
CKAP4	chr12	-	2	3036
CKAP5	chr11	-	44	6698
CKB	chr14	-	8	1431
CKLF	chr16	+	4	888
CKLF-CMTM1	chr16	+	5	890
CKM	chr19	-	8	1656
CKMT1A	chr15	+	10	1779
CKMT1B	chr15	+	10	1779
CKMT2	chr5	+	11	1646
CKS1B	chr1	+	3	924
CKS2	chr9	+	3	613
CLASP1	chr2	-	42	8188
CLASP2	chr3	-	41	7674
CLASRP	chr19	+	21	2234
CLC	chr19	-	4	630
CLCA1	chr1	+	14	3120
CLCA2	chr1	+	14	4024
CLCA3P	chr1	+	15	3412
CLCA4	chr1	+	14	3208
CLCC1	chr1	-	12	4835
CLCF1	chr11	-	4	1973
CLCN1	chr7	+	23	3093
CLCN2	chr3	-	24	3239
CLCN3	chr4	+	14	4051
CLCN4	chrX	+	13	6788
CLCN5	chrX	+	16	10309
CLCN6	chr1	+	23	5654
CLCN7	chr16	-	25	4225
CLCNKA	chr1	+	20	2536
CLCNKB	chr1	+	20	2923
CLDN1	chr3	-	4	3452
CLDN10	chr13	+	6	2939
CLDN11	chr3	+	4	2859
CLDN12	chr7	+	4	3664
CLDN14	chr21	-	7	2335
CLDN15	chr7	-	5	2244
CLDN16	chr3	+	5	3273
CLDN17	chr21	-	1	731
CLDN18	chr3	+	6	3632
CLDN19	chr1	-	4	3602
CLDN2	chrX	+	4	3438
CLDN20	chr6	+	2	1209
CLDN22	chr4	-	1	2708
CLDN23	chr8	+	1	1952
CLDN24	chr4	-	1	663
CLDN25	chr11	+	1	690
CLDN3	chr7	-	1	1274
CLDN4	chr7	+	1	1823
CLDN5	chr22	-	1	2314
CLDN6	chr16	-	2	1370
CLDN7	chr17	-	5	2044
CLDN8	chr21	-	1	2146
CLDN9	chr16	+	1	2050
CLDND1	chr3	-	6	2542
CLDND2	chr19	-	4	974
CLEC10A	chr17	-	9	1780
CLEC11A	chr19	+	4	1407
CLEC12A	chr12	+	7	1596
CLEC12B	chr12	+	6	3500
CLEC14A	chr14	-	1	2256
CLEC16A	chr16	+	23	6891
CLEC17A	chr19	+	14	2162
CLEC18A	chr16	+	14	1969
CLEC18B	chr16	-	13	1943
CLEC18C	chr16	+	12	1970
CLEC1A	chr12	-	6	1779
CLEC1B	chr12	-	6	970
CLEC2A	chr12	-	5	916
CLEC2B	chr12	-	5	2038
CLEC2D	chr12	+	6	5437
CLEC2L	chr7	+	5	1288
CLEC3A	chr16	+	3	1935
CLEC3B	chr3	+	3	852
CLEC4A	chr12	+	6	1281
CLEC4C	chr12	-	7	1314
CLEC4D	chr12	+	6	1934
CLEC4E	chr12	-	6	2158
CLEC4F	chr2	-	7	2473
CLEC4G	chr19	-	9	1360
CLEC4GP1	chr19	+	7	1935
CLEC4M	chr19	+	6	2404
CLEC5A	chr7	-	7	3511
CLEC6A	chr12	+	6	1613
CLEC7A	chr12	-	7	2732
CLEC9A	chr12	+	9	1673
CLECL1	chr12	-	2	635
CLGN	chr4	-	16	2822
CLIC1	chr6	-	6	1251
CLIC1	chr6_cox_hap2	-	6	1251
CLIC1	chr6_dbb_hap3	-	6	1251
CLIC1	chr6_mann_hap4	-	6	1251
CLIC1	chr6_mcf_hap5	-	6	1251
CLIC1	chr6_qbl_hap6	-	6	1251
CLIC1	chr6_ssto_hap7	-	6	123
CLIC2	chrX	-	6	2686
CLIC3	chr9	-	6	813
CLIC4	chr1	+	6	4434
CLIC5	chr6	-	7	6355
CLIC6	chr21	+	6	3800
CLINT1	chr5	-	12	4040
CLIP1	chr12	-	25	5880
CLIP2	chr7	+	17	5563
CLIP3	chr19	-	14	3628
CLIP4	chr2	+	16	4277
CLK1	chr2	-	12	3794
CLK2	chr1	-	13	2137
CLK2P	chr7	-	1	1812
CLK3	chr15	+	14	2751
CLK4	chr5	-	13	2507
CLLU1	chr12	+	3	4250
CLLU1OS	chr12	-	4	686
CLMN	chr14	-	13	12750
CLMP	chr11	-	7	2630
CLN3	chr16	-	15	2097
CLN5	chr13	+	4	2800
CLN6	chr15	-	7	2242
CLN8	chr8	+	3	7169
CLNK	chr4	-	19	1677
CLNS1A	chr11	-	7	1373
CLOCK	chr4	-	23	5801
CLP1	chr11	+	3	1846
CLPB	chr11	-	17	3115
CLPP	chr19	+	6	1151
CLPS	chr6	-	3	539
CLPTM1	chr19	+	16	2723
CLPTM1L	chr5	-	17	2147
CLPX	chr15	-	14	2351
CLRN1	chr3	-	5	3219
CLRN1-AS1	chr3	+	6	2045
CLRN2	chr4	+	3	823
CLRN3	chr10	-	3	1143
CLSPN	chr1	-	25	8484
CLSTN1	chr1	-	19	5192
CLSTN2	chr3	+	17	4882
CLSTN3	chr12	+	18	4002
CLTA	chr9	+	7	1236
CLTB	chr5	-	6	1185
CLTC	chr17	+	32	8575
CLTCL1	chr22	-	33	5514
CLU	chr8	-	10	3152
CLUAP1	chr16	+	13	2821
CLUL1	chr18	+	10	1996
CLVS1	chr8	+	6	3492
CLVS2	chr6	+	6	2010
CLYBL	chr13	+	9	5770
CMA1	chr14	-	5	784
CMAHP	chr6	-	14	3390
CMAS	chr12	+	8	1741
CMBL	chr5	-	6	4047
CMC1	chr3	+	4	625
CMIP	chr16	+	22	4503
CMKLR1	chr12	-	5	5614
CMPK1	chr1	+	6	2930
CMPK2	chr2	-	5	2989
CMTM1	chr16	+	4	1118
CMTM2	chr16	+	4	1062
CMTM3	chr16	+	6	2594
CMTM4	chr16	-	4	8117
CMTM5	chr14	+	5	1200
CMTM6	chr3	-	4	3366
CMTM7	chr3	+	5	1351
CMTM8	chr3	+	4	1170
CMYA5	chr5	+	13	12892
CN5H6.4	chr22	-	1	1518
CNBD1	chr8	+	11	1459
CNBP	chr3	-	5	3384
CNDP1	chr18	+	12	2198
CNDP2	chr18	+	12	5367
CNFN	chr19	-	4	528
CNGA1	chr4	-	12	3021
CNGA2	chrX	+	7	3285
CNGA3	chr2	+	8	3848
CNGA4	chr11	+	6	1911
CNGB1	chr16	-	34	6338
CNGB3	chr8	-	18	4347
CNIH	chr14	-	5	1423
CNIH2	chr11	+	6	1330
CNIH3	chr1	+	6	2372
CNIH4	chr1	+	5	623
CNKSR1	chr1	+	21	2536
CNKSR2	chrX	+	23	7089
CNKSR3	chr6	-	13	3228
CNN1	chr19	+	7	1586
CNN2	chr19	+	7	2458
CNN3	chr1	-	7	2066
CNNM1	chr10	+	11	5959
CNNM2	chr10	+	9	4329
CNNM3	chr2	+	8	4916
CNNM4	chr2	+	7	4800
